skill_name,version,status,tier,lane,last_updated,depends_on,policy_refs,fully_fleshed
route_task,1.0.0,production,5-routing,all,2026-04-15,,,yes
show_system_map,1.0.0,production,5-routing,all,2026-04-15,,,yes
draft_outbound_email,1.0.0,production,6-comms,all,2026-04-15,,email_voice_rules.yaml,yes
intake_cif_checklist,1.0.0,production,1-extraction,CIF,2026-04-15,,cif_procedures.yaml,yes
generate_cif_deal_data,1.0.0,production,1-extraction,CIF,2026-04-15,intake_cif_checklist,cif_procedures.yaml,yes
draft_cif_doc_request_email,1.0.0,production,6-comms,CIF,2026-04-15,intake_cif_checklist,"cif_procedures.yaml,email_voice_rules.yaml",yes
extract_cif_financials,1.0.0,production,1-extraction,CIF,2026-04-15,generate_cif_deal_data,cif_procedures.yaml,yes
calculate_business_cash_flow,1.0.0,production,2-calculation,CIF,2026-04-15,extract_cif_financials,"cif_procedures.yaml,sba_sop_50_10.yaml",yes
calculate_global_cash_flow,1.0.0,production,2-calculation,CIF,2026-04-15,"calculate_business_cash_flow,extract_personal_financials","cif_procedures.yaml,colony_grids.yaml",yes
run_cif_stress_tests,1.0.0,production,2-calculation,CIF,2026-04-15,"calculate_business_cash_flow,calculate_global_cash_flow",cif_procedures.yaml,yes
write_festival_report,1.0.0,production,4-output,CIF,2026-04-15,"calculate_business_cash_flow,calculate_global_cash_flow,run_cif_stress_tests",cif_procedures.yaml,yes
write_grant_summary,1.0.0,production,4-output,CIF,2026-04-15,intake_cif_checklist,"cif_procedures.yaml,vi_leap_grant_rules.yaml",yes
write_committee_memo,1.0.0,production,4-output,CIF,2026-04-15,"calculate_business_cash_flow,calculate_global_cash_flow,run_cif_stress_tests",cif_procedures.yaml,yes
extract_sba_deal_parameters,1.0.0,production,1-extraction,SBA,2026-04-15,,sba_sop_50_10.yaml,yes
match_colony_grid,1.0.0,production,3-risk-compliance,SBA,2026-04-15,extract_sba_deal_parameters,"colony_grids.yaml,sba_sop_50_10.yaml",yes
calculate_broker_commission,1.0.0,production,2-calculation,SBA,2026-04-15,extract_sba_deal_parameters,broker_rules.yaml,yes
screen_sba_character_loe_needed,1.0.0,production,3-risk-compliance,SBA,2026-04-15,,sba_sop_50_10.yaml,yes
intake_broker_client,1.0.0,production,1-extraction,SBA,2026-04-15,"score_inbound_leads,screen_sba_character_loe_needed,calculate_broker_commission,draft_outbound_email","broker_rules.yaml,sba_sop_50_10.yaml,email_voice_rules.yaml,lender_profiles.yaml",yes
score_inbound_leads,1.0.0,production,3-risk-compliance,Prospecting,2026-04-15,,"lead_scoring.yaml,colony_grids.yaml",yes
mine_bizbuysell_listings,1.0.0,production,1-extraction,Prospecting,2026-04-15,,"colony_grids.yaml,bizbuysell_filters.yaml",yes
rank_outreach_prospects,1.0.0,production,3-risk-compliance,Prospecting,2026-04-15,,lead_scoring.yaml,yes
